person_income,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,loan_status,person_gender_male,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,previous_loan_defaults_on_file_Yes
71948,35000,16,0,3,561,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
12282,1000,11,0,2,504,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
12438,5500,12,0,3,635,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
79753,35000,15,0,2,675,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
66135,35000,14,0,4,586,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
12951,2500,7,0,2,532,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
93471,35000,12,0,3,701,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
95550,35000,11,0,4,585,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
100684,35000,8,0,2,544,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12739,1600,14,0,3,640,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
102985,35000,10,0,4,621,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
13113,4500,8,0,2,651,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
114860,35000,7,0,2,573,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
130713,35000,18,0,4,708,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
138998,35000,7,0,4,583,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
600891,30000,10,0,3,670,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
144943,35000,7,0,4,663,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
111369,35000,20,0,4,694,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
136628,35000,18,0,4,709,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
14283,1750,10,0,2,679,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
195718,35000,7,0,4,684,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1
165792,34800,16,0,2,662,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
79255,34000,17,0,4,691,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
13866,1500,7,0,3,600,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
97420,33950,14,0,4,691,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
82443,33000,12,0,3,654,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
14288,4575,17,0,3,626,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14293,1400,9,0,3,607,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
79054,32500,9,0,3,700,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
14988,4000,12,0,2,553,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
14858,2000,11,0,3,589,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
144855,32000,6,0,2,586,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1
114645,31050,14,0,3,681,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
368115,24250,13,0,3,567,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
361076,7800,13,0,4,669,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15150,2500,7,0,4,600,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
58868,30000,18,0,2,606,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
78026,30000,14,0,3,582,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
90785,30000,16,0,4,649,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
86811,30000,11,0,4,602,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
75503,30000,17,0,2,616,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
15082,2500,12,0,3,631,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
361293,20000,7,0,4,684,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
361547,24250,19,0,2,637,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
360680,10000,10,0,4,649,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
360977,25000,15,0,3,695,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
361244,18000,16,0,3,620,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
98230,30000,7,0,3,622,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
80838,30000,12,0,3,645,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
107957,30000,6,0,3,654,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
94649,30000,11,0,4,624,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
94550,30000,18,0,3,570,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
111153,30000,15,0,3,648,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
117250,30000,10,0,2,652,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
144985,30000,7,0,4,559,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
337133,10000,15,0,3,623,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
333566,20000,11,0,3,602,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
333399,35000,11,0,4,609,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
154793,30000,7,0,4,573,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
15229,1750,11,0,3,631,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
158338,30000,5,0,4,623,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
331034,12000,11,0,2,602,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
316466,10000,11,0,4,579,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
267671,25000,15,0,2,582,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85191,29100,15,0,3,700,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
15013,1500,14,0,3,688,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
313100,28000,10,0,3,607,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
311952,20000,14,0,2,661,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
306897,9600,6,0,2,562,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
301136,25000,13,0,4,664,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
15162,3000,11,0,3,564,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
69042,28000,11,0,2,598,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
15307,3000,13,0,3,557,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
79183,28000,7,0,2,677,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
102654,28000,7,0,3,690,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
15229,6100,7,0,3,599,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
